source_record_id,project_name,agency_name,province,procurement_method,procurement_category,budget_amount,winning_amount,winner_name,announcement_date,contract_date,source_url,raw_text
SAMPLE-0079,Solar lighting installation for public area 079,Sample Public Health Office H,Udon Thani,e-market,Public Health,6182500,5502425,Sample Vendor H,2025-08-26,2025-08-11,https://example.org/sample-procurement/79,Sample/demo procurement record only. Agency Sample Public Health Office H plans Solar lighting installation for public area 079. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0080,IT network upgrade for public service office 080,Sample Provincial Office A,Bangkok,e-bidding,IT,6274000,5677970,Sample Vendor I,2025-09-27,2025-09-12,https://example.org/sample-procurement/80,Sample/demo procurement record only. Agency Sample Provincial Office A plans IT network upgrade for public service office 080. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0081,Construction of community service building 081,Sample Municipality B,Chiang Mai,specific selection,Construction,6203500,5707220,Sample Vendor J,2025-10-01,2025-10-13,https://example.org/sample-procurement/81,Sample/demo procurement record only. Agency Sample Municipality B plans Construction of community service building 081. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0082,Medical equipment procurement for outpatient unit 082,Sample Hospital C,Phuket,market inquiry,Medical Supplies,6295000,5885825,Sample Vendor K,2025-11-02,2025-11-14,https://example.org/sample-procurement/82,Sample/demo procurement record only. Agency Sample Hospital C plans Medical equipment procurement for outpatient unit 082. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0083,School internet and classroom device upgrade 083,Sample Education Service Area D,Khon Kaen,e-market,Education,6386500,6067175,Sample Vendor L,2025-12-03,2025-12-15,https://example.org/sample-procurement/83,Sample/demo procurement record only. Agency Sample Education Service Area D plans School internet and classroom device upgrade 083. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0084,Water pump maintenance and replacement 084,Sample Highway District E,Chonburi,e-bidding,Utilities,6478000,5571080,Sample Vendor A,2025-01-04,2025-01-16,https://example.org/sample-procurement/84,Sample/demo procurement record only. Agency Sample Highway District E plans Water pump maintenance and replacement 084. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0085,Road surface improvement and traffic safety work 085,Sample Digital Service Center F,Songkhla,specific selection,Transport,6569500,5748313,Sample Vendor B,2025-02-05,2025-02-17,https://example.org/sample-procurement/85,Sample/demo procurement record only. Agency Sample Digital Service Center F plans Road surface improvement and traffic safety work 085. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0086,Office computer and printer replacement 086,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,6661000,5928290,Sample Vendor C,2025-03-06,2025-03-18,https://example.org/sample-procurement/86,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans Office computer and printer replacement 086. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0087,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 087,Sample Public Health Office H,Udon Thani,e-market,Public Health,6752500,6111013,Sample Vendor D,2025-04-07,2025-04-19,https://example.org/sample-procurement/87,Sample/demo procurement record only. Agency Sample Public Health Office H plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 087. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0088,IT cybersecurity monitoring subscription 088,Sample Provincial Office A,Bangkok,e-bidding,IT,6844000,6296480,Sample Vendor E,2025-05-08,2025-05-20,https://example.org/sample-procurement/88,Sample/demo procurement record only. Agency Sample Provincial Office A plans IT cybersecurity monitoring subscription 088. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0089,Solar lighting installation for public area 089,Sample Municipality B,Chiang Mai,specific selection,Construction,6935500,6484693,Sample Vendor F,2025-06-09,2025-06-21,https://example.org/sample-procurement/89,Sample/demo procurement record only. Agency Sample Municipality B plans Solar lighting installation for public area 089. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0090,IT network upgrade for public service office 090,Sample Hospital C,Phuket,market inquiry,Medical Supplies,6865000,6521750,Sample Vendor G,2025-07-10,2025-07-22,https://example.org/sample-procurement/90,Sample/demo procurement record only. Agency Sample Hospital C plans IT network upgrade for public service office 090. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0091,Construction of community service building 091,Sample Education Service Area D,Khon Kaen,e-market,Education,6956500,5982590,Sample Vendor H,2025-08-11,2025-08-23,https://example.org/sample-procurement/91,Sample/demo procurement record only. Agency Sample Education Service Area D plans Construction of community service building 091. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0092,Medical equipment procurement for outpatient unit 092,Sample Highway District E,Chonburi,e-bidding,Utilities,7048000,6167000,Sample Vendor I,2025-09-12,2025-09-24,https://example.org/sample-procurement/92,Sample/demo procurement record only. Agency Sample Highway District E plans Medical equipment procurement for outpatient unit 092. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0093,School internet and classroom device upgrade 093,Sample Digital Service Center F,Songkhla,specific selection,Transport,7139500,6354155,Sample Vendor J,2025-10-13,2025-10-25,https://example.org/sample-procurement/93,Sample/demo procurement record only. Agency Sample Digital Service Center F plans School internet and classroom device upgrade 093. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0094,Water pump maintenance and replacement 094,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,7231000,6544055,Sample Vendor K,2025-11-14,2025-11-26,https://example.org/sample-procurement/94,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans Water pump maintenance and replacement 094. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0095,Road surface improvement and traffic safety work 095,Sample Public Health Office H,Udon Thani,e-market,Public Health,7322500,6736700,Sample Vendor L,2025-12-15,2025-12-27,https://example.org/sample-procurement/95,Sample/demo procurement record only. Agency Sample Public Health Office H plans Road surface improvement and traffic safety work 095. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0096,Office computer and printer replacement 096,Sample Provincial Office A,Bangkok,e-bidding,IT,7414000,6932090,Sample Vendor A,2025-01-16,2025-01-01,https://example.org/sample-procurement/96,Sample/demo procurement record only. Agency Sample Provincial Office A plans Office computer and printer replacement 096. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0097,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 097,Sample Municipality B,Chiang Mai,specific selection,Construction,7505500,7130225,Sample Vendor B,2025-02-17,2025-02-02,https://example.org/sample-procurement/97,Sample/demo procurement record only. Agency Sample Municipality B plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 097. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0098,IT cybersecurity monitoring subscription 098,Sample Hospital C,Phuket,market inquiry,Medical Supplies,7597000,6533420,Sample Vendor C,2025-03-18,2025-03-03,https://example.org/sample-procurement/98,Sample/demo procurement record only. Agency Sample Hospital C plans IT cybersecurity monitoring subscription 098. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0099,Solar lighting installation for public area 099,Sample Education Service Area D,Khon Kaen,e-market,Education,7526500,6585688,Sample Vendor D,2025-04-19,2025-04-04,https://example.org/sample-procurement/99,Sample/demo procurement record only. Agency Sample Education Service Area D plans Solar lighting installation for public area 099. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0100,IT network upgrade for public service office 100,Sample Highway District E,Chonburi,e-bidding,Utilities,7618000,6780020,Sample Vendor E,2025-05-20,2025-05-05,https://example.org/sample-procurement/100,Sample/demo procurement record only. Agency Sample Highway District E plans IT network upgrade for public service office 100. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0101,Construction of community service building 101,Sample Digital Service Center F,Songkhla,specific selection,Transport,7709500,6977098,Sample Vendor F,2025-06-21,2025-06-06,https://example.org/sample-procurement/101,Sample/demo procurement record only. Agency Sample Digital Service Center F plans Construction of community service building 101. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0102,Medical equipment procurement for outpatient unit 102,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,7801000,7176920,Sample Vendor G,2025-07-22,2025-07-07,https://example.org/sample-procurement/102,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans Medical equipment procurement for outpatient unit 102. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0103,School internet and classroom device upgrade 103,Sample Public Health Office H,Udon Thani,e-market,Public Health,7892500,7379488,Sample Vendor H,2025-08-23,2025-08-08,https://example.org/sample-procurement/103,Sample/demo procurement record only. Agency Sample Public Health Office H plans School internet and classroom device upgrade 103. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0104,Water pump maintenance and replacement 104,Sample Provincial Office A,Bangkok,e-bidding,IT,7984000,7584800,Sample Vendor I,2025-09-24,2025-09-09,https://example.org/sample-procurement/104,Sample/demo procurement record only. Agency Sample Provincial Office A plans Water pump maintenance and replacement 104. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0105,Road surface improvement and traffic safety work 105,Sample Municipality B,Chiang Mai,specific selection,Construction,8075500,6944930,Sample Vendor J,2025-10-25,2025-10-10,https://example.org/sample-procurement/105,Sample/demo procurement record only. Agency Sample Municipality B plans Road surface improvement and traffic safety work 105. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0106,Office computer and printer replacement 106,Sample Hospital C,Phuket,market inquiry,Medical Supplies,8167000,7146125,Sample Vendor K,2025-11-26,2025-11-11,https://example.org/sample-procurement/106,Sample/demo procurement record only. Agency Sample Hospital C plans Office computer and printer replacement 106. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0107,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 107,Sample Education Service Area D,Khon Kaen,e-market,Education,8258500,7350065,Sample Vendor L,2025-12-27,2025-12-12,https://example.org/sample-procurement/107,Sample/demo procurement record only. Agency Sample Education Service Area D plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 107. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0108,IT cybersecurity monitoring subscription 108,Sample Highway District E,Chonburi,e-bidding,Utilities,8188000,7410140,Sample Vendor A,2025-01-01,2025-01-13,https://example.org/sample-procurement/108,Sample/demo procurement record only. Agency Sample Highway District E plans IT cybersecurity monitoring subscription 108. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0109,Solar lighting installation for public area 109,Sample Digital Service Center F,Songkhla,specific selection,Transport,8279500,7617140,Sample Vendor B,2025-02-02,2025-02-14,https://example.org/sample-procurement/109,Sample/demo procurement record only. Agency Sample Digital Service Center F plans Solar lighting installation for public area 109. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0110,IT network upgrade for public service office 110,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,8371000,7826885,Sample Vendor C,2025-03-03,2025-03-15,https://example.org/sample-procurement/110,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans IT network upgrade for public service office 110. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0111,Construction of community service building 111,Sample Public Health Office H,Udon Thani,e-market,Public Health,8462500,8039375,Sample Vendor D,2025-04-04,2025-04-16,https://example.org/sample-procurement/111,Sample/demo procurement record only. Agency Sample Public Health Office H plans Construction of community service building 111. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0112,Medical equipment procurement for outpatient unit 112,Sample Provincial Office A,Bangkok,e-bidding,IT,8554000,7356440,Sample Vendor E,2025-05-05,2025-05-17,https://example.org/sample-procurement/112,Sample/demo procurement record only. Agency Sample Provincial Office A plans Medical equipment procurement for outpatient unit 112. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0113,School internet and classroom device upgrade 113,Sample Municipality B,Chiang Mai,specific selection,Construction,8645500,7564813,Sample Vendor F,2025-06-06,2025-06-18,https://example.org/sample-procurement/113,Sample/demo procurement record only. Agency Sample Municipality B plans School internet and classroom device upgrade 113. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0114,Water pump maintenance and replacement 114,Sample Hospital C,Phuket,market inquiry,Medical Supplies,8737000,7775930,Sample Vendor G,2025-07-07,2025-07-19,https://example.org/sample-procurement/114,Sample/demo procurement record only. Agency Sample Hospital C plans Water pump maintenance and replacement 114. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0115,Road surface improvement and traffic safety work 115,Sample Education Service Area D,Khon Kaen,e-market,Education,8828500,7989793,Sample Vendor H,2025-08-08,2025-08-20,https://example.org/sample-procurement/115,Sample/demo procurement record only. Agency Sample Education Service Area D plans Road surface improvement and traffic safety work 115. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0116,Office computer and printer replacement 116,Sample Highway District E,Chonburi,e-bidding,Utilities,8920000,8206400,Sample Vendor I,2025-09-09,2025-09-21,https://example.org/sample-procurement/116,Sample/demo procurement record only. Agency Sample Highway District E plans Office computer and printer replacement 116. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0117,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 117,Sample Digital Service Center F,Songkhla,specific selection,Transport,8849500,8274282,Sample Vendor J,2025-10-10,2025-10-22,https://example.org/sample-procurement/117,Sample/demo procurement record only. Agency Sample Digital Service Center F plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 117. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0118,IT cybersecurity monitoring subscription 118,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,8941000,8493950,Sample Vendor K,2025-11-11,2025-11-23,https://example.org/sample-procurement/118,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans IT cybersecurity monitoring subscription 118. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0119,Solar lighting installation for public area 119,Sample Public Health Office H,Udon Thani,e-market,Public Health,9032500,7767950,Sample Vendor L,2025-12-12,2025-12-24,https://example.org/sample-procurement/119,Sample/demo procurement record only. Agency Sample Public Health Office H plans Solar lighting installation for public area 119. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0120,IT network upgrade for public service office 120,Sample Provincial Office A,Bangkok,e-bidding,IT,9124000,7983500,Sample Vendor A,2025-01-13,2025-01-25,https://example.org/sample-procurement/120,Sample/demo procurement record only. Agency Sample Provincial Office A plans IT network upgrade for public service office 120. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
